monthly_income,monthly_expenses,credit_score,transactions_per_month,debt_ratio
977.19,2349.28,500,17,0.259
2323.74,1871.41,449,28,0.081
2372.01,2444.24,593,26,0.139
1129.51,2568.53,356,22,0.328
3477.1,1323.26,582,29,0.189
2907.54,1310.04,834,25,0.086
3475.47,2786.83,385,24,0.088
3034.41,2346.6,547,20,0.547
1791.84,1250.16,357,21,0.532
5408.11,2170.15,561,25,0.532
1669.5,1111.94,558,35,0.096
1783.49,2035.17,362,28,0.32
4572.73,923.04,411,21,0.301
2621.05,474.53,625,32,0.173
1558.46,1989.75,635,33,0.092
300,3599.56,847,31,0.105
3565.58,1778.95,400,34,0.115
1451.79,1704.07,330,29,0.169
1827.44,2451.75,576,30,0.489
3479.15,3004.2,442,32,0.253
1343.16,2246.99,519,33,0.205
1204.32,2703.18,817,32,0.181
5313.93,2261.72,542,24,0.39
2733.93,2750.32,464,23,0.097
3099.48,1866.78,302,24,0.674
2243.4,2946.53,647,23,0.615
3938.71,2433.93,430,30,0.575
4999.01,632.57,664,21,0.149
2744.27,2529.84,429,29,0.201
3314.86,3333.4,380,25,0.246
2633.33,2381.91,462,23,0.58
1632.11,1670.99,783,19,0.147
2587.39,3620.75,836,21,0.465
3470.76,2045.22,400,33,0.187
3748.75,1726.83,357,21,0.824
3845.18,2263.81,828,24,0.155
1616.9,2796.69,306,26,0.696
1597.15,1653.39,833,26,0.647
3194.86,2006.82,681,32,0.166
3215.95,2757.02,512,29,0.396
2275.13,1679.62,746,26,0.427
444.81,2311.72,600,26,0.569
2948.02,1653.48,716,24,0.493
4090.39,2282.31,778,21,0.384
3757.86,632.9,420,21,0.192
4332.38,1177.34,617,25,0.24
4021.09,1244.7,307,31,0.385
1910.09,2307.83,689,25,0.216
3642.5,2599.73,787,24,0.312
3569.46,1906.93,520,23,0.032
4407.6,805.94,310,31,0.283
4934.51,3408.25,325,30,0.392
1713.39,2077.19,659,24,0.289
2059.43,2924.04,300,17,0.203
2590.73,2957.74,617,24,0.485
3624.94,934.37,840,29,0.049
1382.58,1526.66,597,19,0.059
1560.78,3312.8,647,22,0.518
7152.69,2013.79,718,21,0.665
2437.15,2229.41,446,23,0.1
2739.13,2390.91,442,28,0.157
4282.34,2393.96,610,27,0.116
1670.11,1909.65,714,31,0.673
1269.13,1403.91,530,28,0.094
3945.26,1592.14,793,28,0.132
3957.72,2484.35,608,23,0.066
2173.35,1064.78,450,20,0.209
3212.44,1096.39,727,24,0.293
4767.02,1735.54,516,27,0.412
2883.63,1516.77,505,24,0.734
2412.9,2332.36,544,31,0.09
913.88,3708,353,22,0.087
5310.44,2516.81,363,18,0.198
1744.14,1837.32,711,27,0.747
3919.66,200,505,26,0.367
1922.93,1984.92,554,25,0.189
2023.81,1429.54,790,25,0.287
4143.65,2760.64,464,19,0.216
3038.53,1349.37,748,26,0.415
2186.59,1263.21,783,29,0.116
2719.23,2528.13,801,21,0.518
4660.39,1701.78,363,18,0.136
3083.43,1840.85,495,29,0.251
3883.2,1431.8,775,18,0.184
3136.42,2625.26,640,20,0.219
2036.31,1318.49,432,22,0.399
4395.5,2259.9,454,33,0.041
4176.37,604.67,642,23,0.56
5422.86,1427.51,346,23,0.178
2791.24,2528.81,547,28,0.202
3982.76,2505.82,595,21,0.241
3274.41,1644.58,684,25,0.338
2951.22,2481.38,562,19,0.395
4693.39,2257.93,456,27,0.316
3832.62,2256.97,604,29,0.566
3111,1421.91,805,23,0.16
3314.7,1369.87,424,23,0.376
1517.96,1708.98,629,27,0.197
3484.97,1693.92,315,25,0.127
3787.92,1900.96,826,27,0.343
2563.59,2390.9,427,15,0.076
4353.53,1924.29,459,23,0.187
3028.83,1795.83,629,18,0.709
3005.33,2125.44,625,30,0.018
2570.38,3677.61,567,27,0.496
1631.31,1738.75,318,33,0.729
1848.28,1566.75,818,33,0.496
3169.92,2234.56,700,34,0.422
3181.36,2158.01,745,18,0.312
2803.78,2423.21,338,21,0.395
4102.08,2804.21,417,30,0.228
2914.67,490.02,574,16,0.048
3219.6,3829.5,594,27,0.115
3929.55,2450.6,342,28,0.166
3366.88,2478.58,482,28,0.184
1646.68,2012.57,821,22,0.433
5224.91,1698.91,795,20,0.41
1856.22,2351.2,445,20,0.201
2558.59,1541.48,607,24,0.649
4766.4,2043.06,664,33,0.171
2882.13,919.22,347,24,0.443
1657.16,1191.9,405,21,0.632
2839.26,3276.98,505,29,0.312
3385.47,2489.49,733,15,0.576
2078.2,2202.43,658,21,0.113
4205.91,1240.55,660,26,0.319
6476.56,2941.24,809,20,0.5
3420.51,924.8,369,23,0.143
4568.64,1038.83,495,31,0.16
4066.53,1288.96,585,22,0.307
834.36,1965.62,566,20,0.118
1793.19,2203.14,706,26,0.308
3569.88,2174.81,604,33,0.411
2665.09,1410.48,593,25,0.158
1658.25,2463.39,520,25,0.4
3818.04,4436.45,630,18,0.342
4473.39,200,319,28,0.209
2757.96,1599.34,463,19,0.443
1611.95,1074.01,350,23,0.181
2098.25,1182.23,780,23,0.133
1567.34,1319.3,835,22,0.351
2778.83,655.8,720,20,0.392
3359.98,1306.66,653,25,0.557
3395.35,2154.17,421,24,0.435
300,2508.8,827,28,0.282
407.66,621.5,457,18,0.24
2337.64,3360.79,796,22,0.298
5430.05,327.11,552,27,0.289
2687.59,467.32,518,19,0.096
4564.77,2309.06,722,25,0.599
5251.71,3411.53,597,27,0.552
2282.18,2724.65,524,29,0.563
853.92,1430.94,421,28,0.25
3870.69,2921.68,579,30,0.132
3459.68,1818.61,723,18,0.133
3122.63,823.25,795,18,0.434
2868.74,444.74,308,33,0.212
3783.21,3239.61,417,26,0.304
3958.64,995.81,770,18,0.296
5890.22,1106.33,837,21,0.387
1354.71,1838.98,778,17,0.067
4914.1,866.77,437,22,0.178
300,3021.55,457,29,0.505
2827.38,1633.52,343,19,0.054
5889.19,2106.17,425,21,0.055
5346.66,1747.97,839,17,0.362
3813.71,2811.87,555,14,0.074
4123.79,1255.92,401,34,0.475
1807.64,2473.89,726,20,0.162
2827.28,2731.34,755,18,0.611
3949.4,1854.2,424,26,0.612
2813.77,2606.05,311,26,0.332
3960.09,1940.31,453,28,0.462
3562.76,2915.57,748,34,0.193
5088.44,621.05,307,22,0.271
4003.11,1152.66,643,25,0.591
4244,1867.15,466,25,0.067
2895.97,221.16,507,21,0.346
3180.61,1738.53,615,23,0.637
2935.62,1732.65,593,25,0.173
4789.28,937.6,357,22,0.03
2360.96,1217.32,463,37,0.141
3027.99,1300.76,490,23,0.098
300,2318.99,772,21,0.124
2656.48,2428.98,331,26,0.375
1249.32,1125.62,582,20,0.102
3147.38,3142.6,784,25,0.188
734.24,2503.22,565,18,0.297
4061.59,969.56,360,21,0.126
2218.27,2761.93,664,19,0.175
2219.88,1325.66,848,25,0.237
3472.65,2708.88,747,24,0.201
1542.86,1968.8,556,22,0.216
2720.94,1893.89,742,30,0.222
4068.49,2742.99,647,37,0.548
2354.94,2102.66,803,27,0.109
3740.86,2290.08,344,26,0.35
3259.26,1353.21,428,17,0.291
5057.06,2167.13,422,27,0.348
4256.23,1388.48,841,22,0.518
5261.21,1572.43,771,27,0.624
2050.15,1774.91,390,33,0.221
3390.4,1910.23,744,32,0.222
3703.53,1728.75,545,18,0.455
1763.77,1614.06,687,24,0.587
2662.69,2329.66,723,26,0.281
5849.29,1962.01,581,25,0.595
3876.61,2331.46,571,32,0.178
4245.77,3579.92,481,22,0.115
3205.31,2975.61,565,26,0.152
2413.36,1567.49,304,28,0.385
2284.26,1539.38,671,27,0.568
300,1981.95,526,28,0.546
508.08,3090.26,583,17,0.454
3354.01,2643.14,327,30,0.48
5473.58,2938.12,722,26,0.618
897.55,1249.33,776,20,0.11
3131.36,2195.44,665,18,0.083
2207.18,3760.61,411,22,0.185
4078.93,1559.44,477,25,0.338
740.5,1526.23,473,25,0.237
1428.45,1367.52,581,21,0.586
2728.28,3098.48,438,22,0.222
4921.64,787.89,716,15,0.141
1266.85,1658.07,467,27,0.422
2796.21,2409.96,339,29,0.271
2048.95,1710.98,323,27,0.409
1470.6,1956.61,698,19,0.252
3259.96,2338.16,410,20,0.532
2944.4,2342.15,368,22,0.144
300,2354.98,372,30,0.146
1620.08,2458.54,443,28,0.212
1259.88,2365.27,677,26,0.249
1811.47,3104.97,425,17,0.115
1740.65,1226.09,725,29,0.379
5107.11,2113.52,575,31,0.444
2307.19,887.78,635,32,0.353
1948.45,1120.89,568,17,0.366
5061.41,2326.29,570,19,0.363
2225.66,1895.56,718,30,0.285
3217.93,2041.71,501,26,0.421
2607.18,2974.53,703,30,0.584
4809.56,2559.27,522,28,0.169
2724.38,1490.26,819,15,0.264
2104.64,1751.88,698,21,0.035
2187.59,2547.96,754,32,0.31
3449.35,473.33,494,19,0.09
3702.3,1301.31,669,19,0.367
4061.69,2089.7,714,33,0.575
2303.41,2257.33,440,29,0.146
1644.21,2372.33,474,28,0.322
2722.08,2684.14,664,32,0.483
3514.11,3117.65,400,31,0.093
4538.56,2141.28,735,22,0.196
2693.47,1306.77,819,30,0.364
4143.16,1938.35,781,27,0.037
1480.67,1424.11,322,30,0.075
2964.48,1669.19,509,28,0.243
1228.12,2138.51,432,28,0.374
2654.9,3568.83,842,29,0.286
4334.87,2091.97,469,32,0.063
3968.87,908.64,541,27,0.287
1903.64,1144.12,383,19,0.226
2270.46,3417.16,771,19,0.301
1478.6,3330.93,434,27,0.18
2551.84,907.41,745,25,0.248
4047.13,3452.9,306,16,0.324
931.95,2720.36,344,32,0.08
4041.35,270.89,793,23,0.163
300,2248.35,701,27,0.233
724.72,1063.77,780,27,0.231
300.88,1051.78,316,33,0.105
2506.68,1994.11,707,21,0.506
1921.38,1477.35,356,20,0.102
4528.25,1589.85,674,26,0.289
3330.51,3450.85,410,26,0.136
1765.17,1705.72,807,26,0.545
2980.53,1514.44,571,19,0.618
2263.07,1641,578,28,0.509
2690.21,3511.18,430,33,0.279
2886.58,2598.61,321,23,0.188
4339.38,2102.25,480,30,0.278
5242.09,2427.07,635,31,0.555
4152.36,1170.18,529,25,0.19
2039.37,4056.16,600,26,0.487
2796.67,1816.62,674,29,0.143
2445.16,3468.88,807,18,0.28
767.25,2465.67,517,28,0.138
3055.96,2032.7,641,16,0.255
3852.39,2181.53,342,15,0.26
862.18,1994.65,586,29,0.177
2033.83,2644.51,552,23,0.075
1875.91,2110.15,826,19,0.328
3335.32,1552.64,578,24,0.238
3591.75,2255.99,436,22,0.323
5272.09,2402.52,387,25,0.452
3053.94,2102.49,483,26,0.33
4016.32,1053.83,650,25,0.103
2855.45,897.88,556,29,0.278
2515.21,2024.49,465,26,0.464
2523.34,1180.27,471,31,0.287
3573.83,2803.99,357,26,0.632
2555.17,1403.68,432,24,0.394
1253.31,2531.79,491,19,0.482
3050.5,1342.86,561,23,0.318
3323.34,2519.3,778,21,0.382
2840.76,1892.92,459,25,0.321
2892.3,2770.14,418,31,0.114
3389.16,2146.63,479,29,0.649
2478.75,1796.31,619,19,0.418
3461.61,2256.87,474,17,0.191
3220.49,1029.75,691,23,0.377
3294.83,3162.62,350,24,0.185
4175.68,1616.85,662,19,0.162
3551.83,1918.09,363,31,0.034
720.08,1571.26,540,29,0.126
3850.01,2585.62,546,25,0.217
4480.34,2379.89,821,28,0.418
4488.18,3145.04,546,19,0.147
4662.63,1257.56,550,27,0.395
3462.1,1600.44,450,27,0.222
3184.3,1606.3,646,30,0.268
2408.09,2771.05,399,28,0.073
1290.85,2310.47,777,18,0.521
3469.76,971.14,432,20,0.188
2924.12,2941.37,434,25,0.097
1959.29,1630.9,562,20,0.166
3990.35,1633.57,728,26,0.03
2106.09,2254.26,382,25,0.514
3676.8,2564.29,790,34,0.436
2985.92,2437.09,847,31,0.522
4537.47,1439.01,578,20,0.378
5023.25,2110.08,345,24,0.055
3853.41,3203.89,763,22,0.3
1892.76,1933.8,749,31,0.596
2695.46,2633.08,723,28,0.225
3676.68,994.73,706,30,0.184
2644.9,2648.01,475,21,0.303
4359.27,1669.28,492,21,0.5
2861.54,1650.55,500,22,0.568
